"file","Date","object","Position","Tree.ID","Treatment","Tree.Species","RangeType","mean_objectarea","median_objectarea","min_objectarea","max_objectarea","sd_objectarea","pixelamount_used","mean_median_dif","range"
"Thermal_masked_crop_D25_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","D25_W","W","Pseudotsuga menziesii","Q10_Q90",31.7515199867873,31.7578029632568,31.5477542877197,32.1889877319336,0.111190072171146,1357,-0.00628297646957421,0.641233444213867
"Thermal_masked_crop_D25_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","D25_W","W","Pseudotsuga menziesii","Q5_Q95",31.739802757455,31.7454586029053,31.5106449127197,32.1889877319336,0.119194502230194,1432,-0.00565584545028841,0.678342819213867
"Thermal_masked_crop_D25_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","D25_W","W","Pseudotsuga menziesii","Q1_Q99",31.7290410198097,31.7392864227295,31.4611473083496,32.1889877319336,0.127480914491366,1495,-0.0102454029198071,0.727840423583984
"Thermal_masked_crop_D25_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","D25_W","W","Pseudotsuga menziesii","Q15_Q85",31.7625509675047,31.7701473236084,31.5724868774414,32.1889877319336,0.103924643846977,1284,-0.00759635610372555,0.616500854492188
"Thermal_masked_crop_D25_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","D25_W","W","Pseudotsuga menziesii","IQR_based",31.7268462190584,31.7392864227295,31.4487686157227,32.1889877319336,0.129315439294466,1507,-0.0124402036711153,0.740219116210938
"Thermal_masked_crop_B37_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B37_D","D","Fagus sylvatica","Q10_Q90",30.7412125233479,30.73464012146,30.4601573944092,31.1450614929199,0.145612538633647,1145,0.00657240188798625,0.684904098510742
"Thermal_masked_crop_B37_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B37_D","D","Fagus sylvatica","Q5_Q95",30.7255928710128,30.7284088134766,30.4039287567139,31.1450614929199,0.157243256886113,1206,-0.00281594246378702,0.741132736206055
"Thermal_masked_crop_B37_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B37_D","D","Fagus sylvatica","Q1_Q99",30.7127690478886,30.7221775054932,30.3664264678955,31.1450614929199,0.167403836290818,1253,-0.00940845760458231,0.778635025024414
"Thermal_masked_crop_B37_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B37_D","D","Fagus sylvatica","Q15_Q85",30.7561398557286,30.7470989227295,30.5101165771484,31.1450614929199,0.135546957757773,1082,0.00904093299908126,0.634944915771484
"Thermal_masked_crop_B37_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B37_D","D","Fagus sylvatica","IQR_based",30.7091484054758,30.7159461975098,30.3601741790771,31.1450614929199,0.170295507810837,1266,-0.00679779203393949,0.784887313842773
"Thermal_masked_crop_T9_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","T9_W","W","Abies alba","Q10_Q90",31.166127675276,31.1605777740479,30.7408695220947,31.7763175964355,0.275582847127765,1034,0.00554990122811816,1.03544807434082
"Thermal_masked_crop_T9_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","T9_W","W","Abies alba","Q5_Q95",31.1432220406489,31.1264400482178,30.703483581543,31.7763175964355,0.28590760627955,1090,0.0167819924310812,1.07283401489258
"Thermal_masked_crop_T9_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","T9_W","W","Abies alba","Q1_Q99",31.1257627795254,31.1078147888184,30.6660842895508,31.7763175964355,0.293897249687341,1133,0.0179479907070323,1.11023330688477
"Thermal_masked_crop_T9_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","T9_W","W","Abies alba","Q15_Q85",31.1878487110623,31.1884994506836,30.759557723999,31.7763175964355,0.265166822002759,983,-0.000650739621292473,1.01675987243652
"Thermal_masked_crop_T9_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","T9_W","W","Abies alba","IQR_based",31.1208580666754,31.0953960418701,30.6536159515381,31.7763175964355,0.296214345771585,1145,0.0254620248053286,1.12270164489746
"Thermal_masked_crop_B26_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B26_D","D","Fagus sylvatica","Q10_Q90",30.8934722289272,30.8591747283936,30.0972728729248,31.8626766204834,0.394995375785303,1392,0.0342975005336186,1.76540374755859
"Thermal_masked_crop_B26_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B26_D","D","Fagus sylvatica","Q5_Q95",30.8435080735636,30.8280544281006,29.7897415161133,31.8626766204834,0.441342440054069,1467,0.0154536454630438,2.07293510437012
"Thermal_masked_crop_B26_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B26_D","D","Fagus sylvatica","Q1_Q99",30.7960028903936,30.8000383377075,29.544340133667,31.8626766204834,0.489408437947735,1530,-0.00403544731389616,2.31833648681641
"Thermal_masked_crop_B26_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B26_D","D","Fagus sylvatica","Q15_Q85",30.9351064167095,30.8902854919434,30.2538394927979,31.8626766204834,0.36562028880879,1315,0.0448209247661637,1.60883712768555
"Thermal_masked_crop_B26_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B26_D","D","Fagus sylvatica","IQR_based",30.783349134081,30.7906970977783,29.4308891296387,31.8626766204834,0.503535837746821,1545,-0.00734796369731683,2.43178749084473
"Thermal_masked_crop_D28_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","D28_W","W","Pseudotsuga menziesii","Q10_Q90",30.1811269082819,30.2381925582886,29.5569381713867,30.6660842895508,0.254166169993328,1684,-0.0570656500066562,1.10914611816406
"Thermal_masked_crop_D28_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","D28_W","W","Pseudotsuga menziesii","Q5_Q95",30.1405642341039,30.2100238800049,29.298376083374,30.6660842895508,0.301621250341566,1778,-0.0694596459010057,1.36770820617676
"Thermal_masked_crop_D28_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","D28_W","W","Pseudotsuga menziesii","Q1_Q99",30.100501863959,30.1724529266357,28.9885406494141,30.6660842895508,0.35371651822886,1854,-0.0719510626767175,1.67754364013672
"Thermal_masked_crop_D28_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","D28_W","W","Pseudotsuga menziesii","Q15_Q85",30.2109748495501,30.2600975036621,29.7520236968994,30.6660842895508,0.227139543569357,1593,-0.0491226541120469,0.914060592651367
"Thermal_masked_crop_D28_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","D28_W","W","Pseudotsuga menziesii","IQR_based",30.115829684921,30.1849784851074,29.1593780517578,30.6660842895508,0.332849542862908,1827,-0.0691488001864649,1.50670623779297
"Thermal_masked_crop_E45_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","E45_D","D","Quercus robur","Q10_Q90",30.2055912950914,30.1912403106689,29.9342021942139,30.6161994934082,0.152658342734726,695,0.0143509844224248,0.681997299194336
"Thermal_masked_crop_E45_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","E45_D","D","Quercus robur","Q5_Q95",30.1886307208434,30.1787147521973,29.8714179992676,30.6161994934082,0.164029791392009,736,0.0099159686461725,0.744781494140625
"Thermal_masked_crop_E45_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","E45_D","D","Quercus robur","Q1_Q99",30.1734427013173,30.1724529266357,29.7834568023682,30.6161994934082,0.176982304734226,767,0.000989774681599442,0.832742691040039
"Thermal_masked_crop_E45_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","E45_D","D","Quercus robur","Q15_Q85",30.2178853755623,30.2037620544434,29.9718551635742,30.6161994934082,0.145387567483947,663,0.0141233211189373,0.644344329833984
"Thermal_masked_crop_E45_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","E45_D","D","Quercus robur","IQR_based",30.1703505818316,30.1661891937256,29.7708835601807,30.6161994934082,0.179730874211256,773,0.0041613881060556,0.845315933227539
"Thermal_masked_crop_B31_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B31_W","W","Fagus sylvatica","Q10_Q90",28.6908239031595,28.6714515686035,28.468017578125,29.0391883850098,0.140811060644523,1260,0.0193723345559746,0.571170806884766
"Thermal_masked_crop_B31_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B31_W","W","Fagus sylvatica","Q5_Q95",28.6798946140933,28.6651000976562,28.4425601959229,29.0391883850098,0.14622996885567,1321,0.0147945164370782,0.596628189086914
"Thermal_masked_crop_B31_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B31_W","W","Fagus sylvatica","Q1_Q99",28.6682146835051,28.658748626709,28.4043636322021,29.0391883850098,0.152765072460375,1383,0.0094660567961462,0.634824752807617
"Thermal_masked_crop_B31_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B31_W","W","Fagus sylvatica","Q15_Q85",28.7037223423843,28.6841526031494,28.4998302459717,29.0391883850098,0.134795189905679,1187,0.0195697392348784,0.539358139038086
"Thermal_masked_crop_B31_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B31_W","W","Fagus sylvatica","IQR_based",28.6668538745359,28.658748626709,28.3979969024658,29.0391883850098,0.153576312719174,1390,0.0081052478268866,0.641191482543945
"Thermal_masked_crop_D40_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","D40_D","D","Pseudotsuga menziesii","Q10_Q90",28.1204553957087,28.1046829223633,27.752908706665,28.4489250183105,0.1874895050008,1124,0.0157724733454465,0.696016311645508
"Thermal_masked_crop_D40_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","D40_D","D","Pseudotsuga menziesii","Q5_Q95",28.0982746925161,28.0855236053467,27.6375293731689,28.4489250183105,0.205653167145729,1186,0.0127510871694234,0.811395645141602
"Thermal_masked_crop_D40_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","D40_D","D","Pseudotsuga menziesii","Q1_Q99",28.0765575374986,28.0727500915527,27.4899139404297,28.4489250183105,0.227732098028902,1236,0.00380744594586346,0.959011077880859
"Thermal_masked_crop_D40_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","D40_D","D","Pseudotsuga menziesii","Q15_Q85",28.1388308612759,28.130220413208,27.8169555664062,28.4489250183105,0.174637431732414,1066,0.00861044806789835,0.631969451904297
"Thermal_masked_crop_D40_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","D40_D","D","Pseudotsuga menziesii","IQR_based",28.0701892721453,28.0727500915527,27.4513721466064,28.4489250183105,0.234908525021278,1249,-0.00256081940747777,0.997552871704102
"Thermal_masked_crop_E51_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","E51_W","W","Quercus robur","Q10_Q90",27.3599179077148,27.3292274475098,27.1747379302979,27.7272796630859,0.125506928557837,850,0.0306904602050793,0.552541732788086
"Thermal_masked_crop_E51_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","E51_W","W","Quercus robur","Q5_Q95",27.3491094218833,27.3195791244507,27.1296367645264,27.7272796630859,0.130812035455699,896,0.0295302974326255,0.59764289855957
"Thermal_masked_crop_E51_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","E51_W","W","Quercus robur","Q1_Q99",27.3377753390799,27.309928894043,27.0780658721924,27.7272796630859,0.137909456925711,939,0.0278464450369,0.649213790893555
"Thermal_masked_crop_E51_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","E51_W","W","Quercus robur","Q15_Q85",27.3694116459887,27.3420925140381,27.2005023956299,27.7272796630859,0.121929229997922,806,0.0273191319505877,0.526777267456055
"Thermal_masked_crop_E51_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","E51_W","W","Quercus robur","IQR_based",27.3366463621752,27.309928894043,27.0716190338135,27.7272796630859,0.138700344311398,943,0.0267174681322686,0.655660629272461
"Thermal_masked_crop_B1_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B1_D","D","Fagus sylvatica","Q10_Q90",28.666647047857,28.6714515686035,28.4170989990234,28.9505405426025,0.12620854399934,991,-0.00480452074653215,0.533441543579102
"Thermal_masked_crop_B1_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B1_D","D","Fagus sylvatica","Q5_Q95",28.652120417311,28.6651000976562,28.3852615356445,28.9505405426025,0.136886140144282,1048,-0.0129796803452571,0.565279006958008
"Thermal_masked_crop_B1_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B1_D","D","Fagus sylvatica","Q1_Q99",28.6413727525403,28.658748626709,28.3406734466553,28.9505405426025,0.145202510201623,1088,-0.0173758741687315,0.609867095947266
"Thermal_masked_crop_B1_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B1_D","D","Fagus sylvatica","Q15_Q85",28.6795159583396,28.6778030395508,28.4489250183105,28.9505405426025,0.11648040218322,940,0.0017129187888294,0.501615524291992
"Thermal_masked_crop_B1_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B1_D","D","Fagus sylvatica","IQR_based",28.6382702574934,28.6523971557617,28.3279304504395,28.9505405426025,0.147734769606407,1099,-0.0141268982683336,0.622610092163086
"Thermal_masked_crop_B30_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B30_W","W","Fagus sylvatica","Q10_Q90",29.6752844692958,29.7771701812744,28.518913269043,30.2288036346436,0.347626680230129,1631,-0.101885711978653,1.70989036560059
"Thermal_masked_crop_B30_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B30_W","W","Fagus sylvatica","Q5_Q95",29.6062333660115,29.7645969390869,28.1812782287598,30.2288036346436,0.451220031393911,1719,-0.158363573075452,2.04752540588379
"Thermal_masked_crop_B30_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B30_W","W","Fagus sylvatica","Q1_Q99",29.5400748835936,29.7520236968994,27.6952342987061,30.2288036346436,0.548537817873173,1791,-0.211948813305828,2.5335693359375
"Thermal_masked_crop_B30_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B30_W","W","Fagus sylvatica","Q15_Q85",29.7321884078334,29.7960262298584,28.9885406494141,30.2288036346436,0.266072105626947,1537,-0.0638378220249791,1.24026298522949
"Thermal_masked_crop_B30_W_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","B30_W","W","Fagus sylvatica","IQR_based",29.6781274224617,29.7771701812744,28.5252723693848,30.2288036346436,0.343284095792005,1627,-0.099042758812697,1.70353126525879
"Thermal_masked_crop_E14_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","E14_D","D","Quercus robur","Q10_Q90",30.2340024002597,30.2413215637207,29.8085956573486,30.6536159515381,0.186806962025506,1170,-0.00731916346101613,0.845020294189453
"Thermal_masked_crop_E14_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","E14_D","D","Quercus robur","Q5_Q95",30.2083700110555,30.2288036346436,29.6702575683594,30.6536159515381,0.212067610928047,1235,-0.0204336235880369,0.983358383178711
"Thermal_masked_crop_E14_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","E14_D","D","Quercus robur","Q1_Q99",30.1800753463129,30.2225437164307,29.3173179626465,30.6536159515381,0.249423647836745,1288,-0.0424683701177564,1.3362979888916
"Thermal_masked_crop_E14_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","E14_D","D","Quercus robur","Q15_Q85",30.2557438761669,30.2538394927979,29.8965358734131,30.6536159515381,0.167516468724849,1107,0.00190438336903753,0.757080078125
"Thermal_masked_crop_E14_D_Green_Dry_Shade.tif",2023-06-27,"Green_Dry","Shade","E14_D","D","Quercus robur","IQR_based",30.1980556830965,30.2288036346436,29.575834274292,30.6536159515381,0.223995476673848,1257,-0.0307479515470206,1.07778167724609
