"","ID","Temperature","Position","Radiances_raw","imgname","Date","Tree.ID","Table","Row","Line","Treatment","Tree.Species"
"1",1,22.6452713012695,"Tree_Shade",13765,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"2",2,22.7192878723145,"Tree_Shade",13776,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"3",3,22.9208812713623,"Tree_Shade",13806,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"4",4,22.503812789917,"Tree_Shade",13744,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"5",5,22.8470096588135,"Tree_Shade",13795,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"6",6,35.9720840454102,"Black_Sun",15876,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"7",7,37.6941261291504,"Black_Sun",16168,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"8",8,38.2255363464355,"Black_Sun",16259,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"9",9,37.0837745666504,"Black_Sun",16064,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"10",10,37.7643432617188,"Black_Sun",16180,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"11",11,26.9167499542236,"Silver_Sun",14413,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"12",12,26.7810497283936,"Silver_Sun",14392,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"13",13,26.6127986907959,"Silver_Sun",14366,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"14",14,26.5933666229248,"Silver_Sun",14363,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"15",15,26.5350513458252,"Silver_Sun",14354,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"16",16,24.6250743865967,"Green_Wet_Sun",14062,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"17",17,24.0225410461426,"Green_Wet_Sun",13971,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"18",18,25.0270004272461,"Green_Wet_Sun",14123,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"19",19,25.5452117919922,"Green_Wet_Sun",14202,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"20",20,25.3815021514893,"Green_Wet_Sun",14177,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"21",21,23.8763389587402,"Green_Wet_Shade",13949,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"22",22,24.3010730743408,"Green_Wet_Shade",14013,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"23",23,24.4202136993408,"Green_Wet_Shade",14031,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"24",24,24.8888092041016,"Green_Wet_Shade",14102,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"25",25,24.7702121734619,"Green_Wet_Shade",14084,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"26",26,30.1348686218262,"Green_Dry_Shade",14919,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"27",27,30.4351711273193,"Green_Dry_Shade",14967,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"28",28,29.9593067169189,"Green_Dry_Shade",14891,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"29",29,30.5038719177246,"Green_Dry_Shade",14978,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"30",30,30.5787696838379,"Green_Dry_Shade",14990,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"31",31,32.9486656188965,"Green_Dry_Sun",15374,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"32",32,31.6157569885254,"Green_Dry_Sun",15157,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"33",33,31.8318424224854,"Green_Dry_Sun",15192,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"34",34,31.9982452392578,"Green_Dry_Sun",15219,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"35",35,31.6404724121094,"Green_Dry_Sun",15161,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"36",36,26.3144569396973,"Tree_Sun",14320,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"37",37,25.1453037261963,"Tree_Sun",14141,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"38",38,24.8295288085938,"Tree_Sun",14093,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"39",39,24.9941158294678,"Tree_Sun",14118,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"40",40,25.1518707275391,"Tree_Sun",14142,"ThermalCamera2023-08-08_10-45-23+0200_T25_W_temperature","2023-08-08","T25",2,"R5",3,"W","Abies Alba"
"41",1,25.0072708129883,"Tree_Shade",14120,"ThermalCamera2023-08-08_10-46-12+0200_E19_D_temperature","2023-08-08","E19",2,"R5",4,"D","Quercus Rorbur"
"42",2,25.3487281799316,"Tree_Shade",14172,"ThermalCamera2023-08-08_10-46-12+0200_E19_D_temperature","2023-08-08","E19",2,"R5",4,"D","Quercus Rorbur"
"43",3,24.9941158294678,"Tree_Shade",14118,"ThermalCamera2023-08-08_10-46-12+0200_E19_D_temperature","2023-08-08","E19",2,"R5",4,"D","Quercus Rorbur"
