"","ID","Temperature","Position","Radiances_raw","imgname","Date","Tree.ID","Table","Row","Line","Treatment","Tree.Species"
"1",1,27.9832935333252,"Tree_Shade",14579,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"2",2,27.9257431030273,"Tree_Shade",14570,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"3",3,27.9705066680908,"Tree_Shade",14577,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"4",4,27.7208709716797,"Tree_Shade",14538,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"5",5,27.9960765838623,"Tree_Shade",14581,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"6",6,29.9718551635742,"Black_Shade",14893,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"7",7,30.272611618042,"Black_Shade",14941,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"8",8,29.9153709411621,"Black_Shade",14884,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"9",9,30.08473777771,"Black_Shade",14911,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"10",10,29.5002346038818,"Black_Shade",14818,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"11",11,24.0756530761719,"Green_Wet_Shade",13979,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"12",12,23.8430824279785,"Green_Wet_Shade",13944,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"13",13,23.7698783874512,"Green_Wet_Shade",13933,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"14",14,24.0026168823242,"Green_Wet_Shade",13968,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"15",15,23.2894287109375,"Green_Wet_Shade",13861,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"16",16,29.4308891296387,"Green_Dry_Shade",14807,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"17",17,29.7205829620361,"Green_Dry_Shade",14853,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"18",18,29.4245834350586,"Green_Dry_Shade",14806,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"19",19,29.2478523254395,"Green_Dry_Shade",14778,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"20",20,29.298376083374,"Green_Dry_Shade",14786,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"21",21,28.7032032012939,"Silver_Shade",14692,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"22",22,29.1657009124756,"Silver_Shade",14765,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"23",23,29.0581741333008,"Silver_Shade",14748,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"24",24,29.0771579742432,"Silver_Shade",14751,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"25",25,28.7920570373535,"Silver_Shade",14706,"ThermalCamera2023-08-11_10-18-07+0200_B40_D_temperature","2023-08-11","B40",2,"R5",12,"D","Fagus Sylvatica"
"26",1,33.7455863952637,"Tree_Sun",15505,"ThermalCamera2023-08-11_10-26-59+0200_B38_D_temperature","2023-08-11","B38",2,"R6",4,"D","Fagus Sylvatica"
"27",2,32.2995910644531,"Tree_Sun",15268,"ThermalCamera2023-08-11_10-26-59+0200_B38_D_temperature","2023-08-11","B38",2,"R6",4,"D","Fagus Sylvatica"
"28",3,35.6507415771484,"Tree_Sun",15822,"ThermalCamera2023-08-11_10-26-59+0200_B38_D_temperature","2023-08-11","B38",2,"R6",4,"D","Fagus Sylvatica"
"29",4,39.5463371276855,"Tree_Sun",16487,"ThermalCamera2023-08-11_10-26-59+0200_B38_D_temperature","2023-08-11","B38",2,"R6",4,"D","Fagus Sylvatica"
"30",5,33.6667594909668,"Tree_Sun",15492,"ThermalCamera2023-08-11_10-26-59+0200_B38_D_temperature","2023-08-11","B38",2,"R6",4,"D","Fagus Sylvatica"
"31",6,28.7920570373535,"Tree_Shade",14706,"ThermalCamera2023-08-11_10-26-59+0200_B38_D_temperature","2023-08-11","B38",2,"R6",4,"D","Fagus Sylvatica"
"32",7,28.9061889648438,"Tree_Shade",14724,"ThermalCamera2023-08-11_10-26-59+0200_B38_D_temperature","2023-08-11","B38",2,"R6",4,"D","Fagus Sylvatica"
"33",8,29.5254402160645,"Tree_Shade",14822,"ThermalCamera2023-08-11_10-26-59+0200_B38_D_temperature","2023-08-11","B38",2,"R6",4,"D","Fagus Sylvatica"
"34",9,28.550708770752,"Tree_Shade",14668,"ThermalCamera2023-08-11_10-26-59+0200_B38_D_temperature","2023-08-11","B38",2,"R6",4,"D","Fagus Sylvatica"
"35",10,28.7857131958008,"Tree_Shade",14705,"ThermalCamera2023-08-11_10-26-59+0200_B38_D_temperature","2023-08-11","B38",2,"R6",4,"D","Fagus Sylvatica"
"36",11,44.9176940917969,"Black_Sun",17441,"ThermalCamera2023-08-11_10-26-59+0200_B38_D_temperature","2023-08-11","B38",2,"R6",4,"D","Fagus Sylvatica"
"37",12,46.2593231201172,"Black_Sun",17686,"ThermalCamera2023-08-11_10-26-59+0200_B38_D_temperature","2023-08-11","B38",2,"R6",4,"D","Fagus Sylvatica"
"38",13,47.2195587158203,"Black_Sun",17863,"ThermalCamera2023-08-11_10-26-59+0200_B38_D_temperature","2023-08-11","B38",2,"R6",4,"D","Fagus Sylvatica"
"39",14,47.160099029541,"Black_Sun",17852,"ThermalCamera2023-08-11_10-26-59+0200_B38_D_temperature","2023-08-11","B38",2,"R6",4,"D","Fagus Sylvatica"
"40",15,47.3653831481934,"Black_Sun",17890,"ThermalCamera2023-08-11_10-26-59+0200_B38_D_temperature","2023-08-11","B38",2,"R6",4,"D","Fagus Sylvatica"
"41",16,29.380428314209,"Green_Wet_Sun",14799,"ThermalCamera2023-08-11_10-26-59+0200_B38_D_temperature","2023-08-11","B38",2,"R6",4,"D","Fagus Sylvatica"
"42",17,30.1473979949951,"Green_Wet_Sun",14921,"ThermalCamera2023-08-11_10-26-59+0200_B38_D_temperature","2023-08-11","B38",2,"R6",4,"D","Fagus Sylvatica"
"43",18,30.6723194122314,"Green_Wet_Sun",15005,"ThermalCamera2023-08-11_10-26-59+0200_B38_D_temperature","2023-08-11","B38",2,"R6",4,"D","Fagus Sylvatica"
