"","ID","Temperature","Position","Radiances_raw","imgname","Date","Tree.ID","Table","Row","Line","Treatment","Tree.Species"
"1",1,21.8410377502441,"Tree_Shade",13646,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"2",2,21.6372699737549,"Tree_Shade",13616,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"3",3,21.8613910675049,"Tree_Shade",13649,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"4",4,21.5964660644531,"Tree_Shade",13610,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"5",5,22.105318069458,"Tree_Shade",13685,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"6",6,23.863037109375,"Black_Shade",13947,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"7",7,24.0158996582031,"Black_Shade",13970,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"8",8,24.0756530761719,"Black_Shade",13979,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"9",9,24.0955619812012,"Black_Shade",13982,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"10",10,24.2414512634277,"Black_Shade",14004,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"11",11,22.6183414459229,"Silver_Shade",13761,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"12",12,22.6520023345947,"Silver_Shade",13766,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"13",13,22.6721935272217,"Silver_Shade",13769,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"14",14,22.7192878723145,"Silver_Shade",13776,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"15",15,22.7125625610352,"Silver_Shade",13775,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"16",16,23.7099456787109,"Green_Dry_Shade",13924,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"17",17,23.6699714660645,"Green_Dry_Shade",13918,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"18",18,23.7099456787109,"Green_Dry_Shade",13924,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"19",19,23.7632217407227,"Green_Dry_Shade",13932,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"20",20,23.7299289703369,"Green_Dry_Shade",13927,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"21",21,20.1715297698975,"Green_Wet_Shade",13402,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"22",22,20.2198181152344,"Green_Wet_Shade",13409,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"23",23,20.3852005004883,"Green_Wet_Shade",13433,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"24",24,20.4609088897705,"Green_Wet_Shade",13444,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"25",25,20.5915412902832,"Green_Wet_Shade",13463,"ThermalCamera2023-07-31_11-13-33+0200_B27_D_temperature","2023-07-31","B27",1,"R1",3,"D","Fagus Sylvatica"
"26",1,20.9892539978027,"Tree_Shade",13521,"ThermalCamera2023-07-31_11-14-04+0200_T14_W_temperature","2023-07-31","T14",1,"R1",4,"W","Abies Alba"
"27",2,21.0508251190186,"Tree_Shade",13530,"ThermalCamera2023-07-31_11-14-04+0200_T14_W_temperature","2023-07-31","T14",1,"R1",4,"W","Abies Alba"
