"","ID","Temperature","Position","Radiances_raw","imgname","Date","Tree.ID","Table","Row","Line","Treatment","Tree.Species"
"1",1,24.9414749145508,"Tree_Shade",14110,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"2",2,25.2372226715088,"Tree_Shade",14155,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"3",3,25.0927410125732,"Tree_Shade",14133,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"4",4,24.2083129882812,"Tree_Shade",13999,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"5",5,26.0152587890625,"Tree_Shade",14274,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"6",6,31.8318424224854,"Black_Shade",15192,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"7",7,32.0659675598145,"Black_Shade",15230,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"8",8,31.9859275817871,"Black_Shade",15217,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"9",9,31.3125152587891,"Black_Shade",15108,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"10",10,31.9058303833008,"Black_Shade",15204,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"11",11,25.6563873291016,"Silver_Shade",14219,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"12",12,25.8457641601562,"Silver_Shade",14248,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"13",13,25.6498508453369,"Silver_Shade",14218,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"14",14,25.989200592041,"Silver_Shade",14270,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"15",15,26.0022296905518,"Silver_Shade",14272,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"16",16,28.6460437774658,"Green_Dry_Shade",14683,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"17",17,28.7412929534912,"Green_Dry_Shade",14698,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"18",18,29.2604866027832,"Green_Dry_Shade",14780,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"19",19,29.184663772583,"Green_Dry_Shade",14768,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"20",20,29.3236293792725,"Green_Dry_Shade",14790,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"21",21,22.8066940307617,"Green_Wet_Shade",13789,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"22",22,22.5442504882812,"Green_Wet_Shade",13750,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"23",23,22.5105533599854,"Green_Wet_Shade",13745,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"24",24,22.5172939300537,"Green_Wet_Shade",13746,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"25",25,22.4768466949463,"Green_Wet_Shade",13740,"ThermalCamera2023-06-27_11-38-16+0200_E13_W_temperature","2023-06-27","E13",2,"R6",3,"W","Quercus Rorbur"
"26",1,24.4665069580078,"Tree_Shade",14038,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"27",2,24.5722465515137,"Tree_Shade",14054,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"28",3,25.6433143615723,"Tree_Shade",14217,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"29",4,24.9480571746826,"Tree_Shade",14111,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"30",5,25.119026184082,"Tree_Shade",14137,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"31",6,30.9400444030762,"Black_Shade",15048,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"32",7,31.5972137451172,"Black_Shade",15154,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"33",8,31.3373012542725,"Black_Shade",15112,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"34",9,31.5477542877197,"Black_Shade",15146,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"35",10,31.4920864105225,"Black_Shade",15137,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"36",11,25.5452117919922,"Silver_Shade",14202,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"37",12,25.8457641601562,"Silver_Shade",14248,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"38",13,25.7739734649658,"Silver_Shade",14237,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"39",14,25.4404678344727,"Silver_Shade",14186,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"40",15,25.6302394866943,"Silver_Shade",14215,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"41",16,28.8935127258301,"Green_Dry_Shade",14722,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"42",17,29.184663772583,"Green_Dry_Shade",14768,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"43",18,29.0708293914795,"Green_Dry_Shade",14750,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"44",19,28.8491382598877,"Green_Dry_Shade",14715,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"45",20,29.4498062133789,"Green_Dry_Shade",14810,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"46",21,22.9879894256592,"Green_Wet_Shade",13816,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"47",22,22.4768466949463,"Green_Wet_Shade",13740,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"48",23,22.6587333679199,"Green_Wet_Shade",13767,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"49",24,23.0349388122559,"Green_Wet_Shade",13823,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"50",25,22.1729717254639,"Green_Wet_Shade",13695,"ThermalCamera2023-06-27_11-40-25+0200_B38_D_temperature","2023-06-27","B38",2,"R6",4,"D","Fagus Sylvatica"
"51",1,25.5124912261963,"Tree_Shade",14197,"ThermalCamera2023-06-27_11-41-13+0200_D45_W_temperature","2023-06-27","D45",2,"R6",5,"W","Pseudotsuga Menziesii"
"52",2,26.0022296905518,"Tree_Shade",14272,"ThermalCamera2023-06-27_11-41-13+0200_D45_W_temperature","2023-06-27","D45",2,"R6",5,"W","Pseudotsuga Menziesii"
"53",3,25.7478542327881,"Tree_Shade",14233,"ThermalCamera2023-06-27_11-41-13+0200_D45_W_temperature","2023-06-27","D45",2,"R6",5,"W","Pseudotsuga Menziesii"
"54",4,25.1847076416016,"Tree_Shade",14147,"ThermalCamera2023-06-27_11-41-13+0200_D45_W_temperature","2023-06-27","D45",2,"R6",5,"W","Pseudotsuga Menziesii"
"55",5,25.1912727355957,"Tree_Shade",14148,"ThermalCamera2023-06-27_11-41-13+0200_D45_W_temperature","2023-06-27","D45",2,"R6",5,"W","Pseudotsuga Menziesii"
"56",6,32.0044021606445,"Black_Shade",15220,"ThermalCamera2023-06-27_11-41-13+0200_D45_W_temperature","2023-06-27","D45",2,"R6",5,"W","Pseudotsuga Menziesii"
"57",7,32.7347717285156,"Black_Shade",15339,"ThermalCamera2023-06-27_11-41-13+0200_D45_W_temperature","2023-06-27","D45",2,"R6",5,"W","Pseudotsuga Menziesii"
"58",8,32.6123580932617,"Black_Shade",15319,"ThermalCamera2023-06-27_11-41-13+0200_D45_W_temperature","2023-06-27","D45",2,"R6",5,"W","Pseudotsuga Menziesii"
"59",9,32.8875961303711,"Black_Shade",15364,"ThermalCamera2023-06-27_11-41-13+0200_D45_W_temperature","2023-06-27","D45",2,"R6",5,"W","Pseudotsuga Menziesii"
"60",10,32.5817337036133,"Black_Shade",15314,"ThermalCamera2023-06-27_11-41-13+0200_D45_W_temperature","2023-06-27","D45",2,"R6",5,"W","Pseudotsuga Menziesii"
"61",11,26.7875156402588,"Silver_Shade",14393,"ThermalCamera2023-06-27_11-41-13+0200_D45_W_temperature","2023-06-27","D45",2,"R6",5,"W","Pseudotsuga Menziesii"
"62",12,26.6840152740479,"Silver_Shade",14377,"ThermalCamera2023-06-27_11-41-13+0200_D45_W_temperature","2023-06-27","D45",2,"R6",5,"W","Pseudotsuga Menziesii"
"63",13,26.7875156402588,"Silver_Shade",14393,"ThermalCamera2023-06-27_11-41-13+0200_D45_W_temperature","2023-06-27","D45",2,"R6",5,"W","Pseudotsuga Menziesii"
"64",14,26.9877586364746,"Silver_Shade",14424,"ThermalCamera2023-06-27_11-41-13+0200_D45_W_temperature","2023-06-27","D45",2,"R6",5,"W","Pseudotsuga Menziesii"
