"","ID","Temperature","Position","Radiances_raw","imgname","Date","Tree.ID","Table","Row","Line","Treatment","Tree.Species"
"1",1,19.6734733581543,"Tree_Shade",13330,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"2",2,19.5138397216797,"Tree_Shade",13307,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"3",3,19.3748168945312,"Tree_Shade",13287,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"4",4,19.235595703125,"Tree_Shade",13267,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"5",5,19.4652042388916,"Tree_Shade",13300,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"6",6,22.8537273406982,"Black_Shade",13796,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"7",7,23.1153736114502,"Black_Shade",13835,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"8",8,23.2225189208984,"Black_Shade",13851,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"9",9,23.349609375,"Black_Shade",13870,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"10",10,23.4364738464355,"Black_Shade",13883,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"11",11,22.2946319580078,"Green_Dry_Shade",13713,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"12",12,22.2608509063721,"Green_Dry_Shade",13708,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"13",13,22.3013858795166,"Green_Dry_Shade",13714,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"14",14,22.3419036865234,"Green_Dry_Shade",13720,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"15",15,22.4228916168213,"Green_Dry_Shade",13732,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"16",16,18.6206684112549,"Green_Wet_Shade",13179,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"17",17,18.3750133514404,"Green_Wet_Shade",13144,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"18",18,18.4873886108398,"Green_Wet_Shade",13160,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"19",19,18.1850833892822,"Green_Wet_Shade",13117,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"20",20,18.2625064849854,"Green_Wet_Shade",13128,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"21",21,20.3576564788818,"Silver_Shade",13429,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"22",22,20.2060241699219,"Silver_Shade",13407,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"23",23,20.3645439147949,"Silver_Shade",13430,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"24",24,20.1922283172607,"Silver_Shade",13405,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"25",25,20.3920860290527,"Silver_Shade",13434,"ThermalCamera2023-07-13_10-56-16+0200_B27_D_temperature","2023-07-13","B27",1,"R1",3,"D","Fagus Sylvatica"
"26",1,20.3920860290527,"Tree_Shade",13434,"ThermalCamera2023-07-13_10-57-23+0200_T14_W_temperature","2023-07-13","T14",1,"R1",4,"W","Abies Alba"
"27",2,20.2060241699219,"Tree_Shade",13407,"ThermalCamera2023-07-13_10-57-23+0200_T14_W_temperature","2023-07-13","T14",1,"R1",4,"W","Abies Alba"
"28",3,20.0817890167236,"Tree_Shade",13389,"ThermalCamera2023-07-13_10-57-23+0200_T14_W_temperature","2023-07-13","T14",1,"R1",4,"W","Abies Alba"
"29",4,20.1577281951904,"Tree_Shade",13400,"ThermalCamera2023-07-13_10-57-23+0200_T14_W_temperature","2023-07-13","T14",1,"R1",4,"W","Abies Alba"
"30",5,20.0265235900879,"Tree_Shade",13381,"ThermalCamera2023-07-13_10-57-23+0200_T14_W_temperature","2023-07-13","T14",1,"R1",4,"W","Abies Alba"
