"","ID","Temperature","Position","Radiances_raw","imgname","Date","Tree.ID","Table","Row","Line","Treatment","Tree.Species"
"1",1,23.6966228485107,"Tree_Shade",13922,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"2",2,24.0491008758545,"Tree_Shade",13975,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"3",3,23.6633071899414,"Tree_Shade",13917,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"4",4,23.9959735870361,"Tree_Shade",13967,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"5",5,23.5766372680664,"Tree_Shade",13904,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"6",6,28.994873046875,"Black_Shade",14738,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"7",7,28.7412929534912,"Black_Shade",14698,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"8",8,28.7476387023926,"Black_Shade",14699,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"9",9,28.7476387023926,"Black_Shade",14699,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"10",10,28.8174304962158,"Black_Shade",14710,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"11",11,25.5844650268555,"Silver_Shade",14208,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"12",12,25.5910053253174,"Silver_Shade",14209,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"13",13,25.4928531646729,"Silver_Shade",14194,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"14",14,25.5517559051514,"Silver_Shade",14203,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"15",15,25.4404678344727,"Silver_Shade",14186,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"16",16,26.6775436401367,"Green_Dry_Shade",14376,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"17",17,27.0845146179199,"Green_Dry_Shade",14439,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"18",18,26.7681179046631,"Green_Dry_Shade",14390,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"19",19,27.0006656646729,"Green_Dry_Shade",14426,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"20",20,26.6451759338379,"Green_Dry_Shade",14371,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"21",21,21.2080020904541,"Green_Wet_Shade",13553,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"22",22,21.6100692749023,"Green_Wet_Shade",13612,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
"23",23,21.4330863952637,"Green_Wet_Shade",13586,"ThermalCamera2023-07-04_11-09-06+0200_T25_W_temperature","2023-07-04","T25",2,"R5",3,"W","Abies Alba"
