"","ID","Temperature","Position","Radiances_raw","imgname","Date","Tree.ID","Table","Row","Line","Treatment","Tree.Species"
"1",1,38.7892990112305,"Tree_Sun",16356,"ThermalCamera2023-06-29_12-15-53+0200_E13_W_temperature","2023-06-29","E13",2,"R6",3,"W","Quercus Rorbur"
"2",2,37.2072830200195,"Tree_Sun",16085,"ThermalCamera2023-06-29_12-15-53+0200_E13_W_temperature","2023-06-29","E13",2,"R6",3,"W","Quercus Rorbur"
"3",3,37.2249145507812,"Tree_Sun",16088,"ThermalCamera2023-06-29_12-15-53+0200_E13_W_temperature","2023-06-29","E13",2,"R6",3,"W","Quercus Rorbur"
"4",4,36.8894233703613,"Tree_Sun",16031,"ThermalCamera2023-06-29_12-15-53+0200_E13_W_temperature","2023-06-29","E13",2,"R6",3,"W","Quercus Rorbur"
"5",5,38.2954292297363,"Tree_Sun",16271,"ThermalCamera2023-06-29_12-15-53+0200_E13_W_temperature","2023-06-29","E13",2,"R6",3,"W","Quercus Rorbur"
"6",6,30.9400444030762,"Tree_Shade",15048,"ThermalCamera2023-06-29_12-15-53+0200_E13_W_temperature","2023-06-29","E13",2,"R6",3,"W","Quercus Rorbur"
"7",7,31.5168304443359,"Tree_Shade",15141,"ThermalCamera2023-06-29_12-15-53+0200_E13_W_temperature","2023-06-29","E13",2,"R6",3,"W","Quercus Rorbur"
"8",8,30.840503692627,"Tree_Shade",15032,"ThermalCamera2023-06-29_12-15-53+0200_E13_W_temperature","2023-06-29","E13",2,"R6",3,"W","Quercus Rorbur"
"9",9,31.9982452392578,"Tree_Shade",15219,"ThermalCamera2023-06-29_12-15-53+0200_E13_W_temperature","2023-06-29","E13",2,"R6",3,"W","Quercus Rorbur"
"10",10,32.9181365966797,"Tree_Shade",15369,"ThermalCamera2023-06-29_12-15-53+0200_E13_W_temperature","2023-06-29","E13",2,"R6",3,"W","Quercus Rorbur"
"11",11,26.6322250366211,"Green_Wet_Shade",14369,"ThermalCamera2023-06-29_12-15-53+0200_E13_W_temperature","2023-06-29","E13",2,"R6",3,"W","Quercus Rorbur"
"12",12,25.7674427032471,"Green_Wet_Shade",14236,"ThermalCamera2023-06-29_12-15-53+0200_E13_W_temperature","2023-06-29","E13",2,"R6",3,"W","Quercus Rorbur"
"13",13,26.0673542022705,"Green_Wet_Shade",14282,"ThermalCamera2023-06-29_12-15-53+0200_E13_W_temperature","2023-06-29","E13",2,"R6",3,"W","Quercus Rorbur"
"14",14,25.6106243133545,"Green_Wet_Shade",14212,"ThermalCamera2023-06-29_12-15-53+0200_E13_W_temperature","2023-06-29","E13",2,"R6",3,"W","Quercus Rorbur"
"15",15,26.4961566925049,"Green_Wet_Shade",14348,"ThermalCamera2023-06-29_12-15-53+0200_E13_W_temperature","2023-06-29","E13",2,"R6",3,"W","Quercus Rorbur"
"16",16,36.2569580078125,"Green_Dry_Shade",15924,"ThermalCamera2023-06-29_12-15-53+0200_E13_W_temperature","2023-06-29","E13",2,"R6",3,"W","Quercus Rorbur"
"17",17,36.3399085998535,"Green_Dry_Shade",15938,"ThermalCamera2023-06-29_12-15-53+0200_E13_W_temperature","2023-06-29","E13",2,"R6",3,"W","Quercus Rorbur"
"18",18,35.8829154968262,"Green_Dry_Shade",15861,"ThermalCamera2023-06-29_12-15-53+0200_E13_W_temperature","2023-06-29","E13",2,"R6",3,"W","Quercus Rorbur"
"19",19,36.5647621154785,"Green_Dry_Shade",15976,"ThermalCamera2023-06-29_12-15-53+0200_E13_W_temperature","2023-06-29","E13",2,"R6",3,"W","Quercus Rorbur"
